"-5  -2  2  5  10
Very Bad  Bad  Good  Great  Perfect",Emoji,Mountain,Syringe,Swords,Anchor,Mouse,Looking Glass,Star,Toxic,Confusion,Comet,Cold,Magnet,Anger,Rainbow,Love Letter,Shield,Storm,Mirror,Salt,Band-aid,Die,Party,Hourglass,Volcano,Art Palette,Sailboat,Tornado,Wilted Flower,Web,Desert Island,Half-Moon,Crown,Snowing,Knife,Leaf,Flame
,,⛰️,💉,⚔️,⚓,🐭,🔎,⭐,☢️,💫,☄️,❄️,🧲,💢,🌈,💌,🛡️,☔,,🧂,🩹,🎲,🎉,⏳or⌛,🌋,🎨,⛵,🌪️,🥀,🕸️,🏝️,🌗,👑,🌨️,🔪,🍂,🔥
Cake,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Chocolate cake,0,2,2,-5,5,-2,-2,-2,-2,-2,-2,2,2,2,-2,5,-2,5,-2,-2,10,10,5,-2,2,-2,-5,,,,,,,,,,
Lemon meringue pie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow macarons,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry shortcake,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral pie,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha ice cream swiss roll,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Éclairs filled with custard,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red velvet cupcakes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookies,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple caramel,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey cake,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiramisu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Crème brûlée,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretzel,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanc,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish pastries,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
